rank,sample_id,total_pixels,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10
1,0004786,65536,65536,0,0,0,0,0,0,0,0,0,0
2,0076199,65536,0,65536,0,0,0,0,0,0,0,0,0
3,0038052,65536,0,0,0,65536,0,0,0,0,0,0,0
4,0045191,65536,0,0,65536,0,0,0,0,0,0,0,0
5,0000000,65536,0,0,0,0,0,0,0,65536,0,0,0
6,0113785,65536,0,0,0,0,0,65536,0,0,0,0,0
7,0136990,65536,1353,0,0,0,0,27108,36613,4,0,0,458
8,0153691,65536,8,0,8,4,65496,20,0,0,0,0,0
9,0142281,65536,0,0,0,0,0,0,0,0,0,65536,0
10,0141670,65536,0,0,0,0,0,0,0,0,65536,0,0
11,0021601,65536,65536,0,0,0,0,0,0,0,0,0,0
12,0045192,65536,0,0,65536,0,0,0,0,0,0,0,0
13,0038070,65536,0,0,0,65536,0,0,0,0,0,0,0
14,0037620,65536,65536,0,0,0,0,0,0,0,0,0,0
15,0045210,65536,0,0,65536,0,0,0,0,0,0,0,0
16,0079003,65536,0,65536,0,0,0,0,0,0,0,0,0
17,0000001,65536,0,0,0,0,0,0,0,65536,0,0,0
18,0041240,65536,65536,0,0,0,0,0,0,0,0,0,0
19,0038578,65536,0,0,0,65536,0,0,0,0,0,0,0
20,0045211,65536,0,0,65536,0,0,0,0,0,0,0,0
21,0041243,65536,65536,0,0,0,0,0,0,0,0,0,0
22,0038580,65536,0,0,0,65536,0,0,0,0,0,0,0
23,0041259,65536,65536,0,0,0,0,0,0,0,0,0,0
24,0045229,65536,0,0,65536,0,0,0,0,0,0,0,0
25,0079021,65536,0,65536,0,0,0,0,0,0,0,0,0
26,0000002,65536,0,0,0,0,0,0,0,65536,0,0,0
27,0159083,65536,46,0,0,0,65490,0,0,0,0,0,0
28,0041445,65536,65536,0,0,0,0,0,0,0,0,0,0
29,0038594,65536,0,0,0,65536,0,0,0,0,0,0,0
30,0045230,65536,0,0,65536,0,0,0,0,0,0,0,0
31,0041463,65536,65536,0,0,0,0,0,0,0,0,0,0
32,0045247,65536,0,0,65536,0,0,0,0,0,0,0,0
33,0079059,65536,0,65536,0,0,0,0,0,0,0,0,0
34,0038595,65536,0,0,0,65536,0,0,0,0,0,0,0
35,0041464,65536,65536,0,0,0,0,0,0,0,0,0,0
36,0000003,65536,0,0,0,0,0,0,0,65536,0,0,0
37,0045248,65536,0,0,65536,0,0,0,0,0,0,0,0
38,0041465,65536,65536,0,0,0,0,0,0,0,0,0,0
39,0080619,65536,0,0,0,65536,0,0,0,0,0,0,0
40,0041483,65536,65536,0,0,0,0,0,0,0,0,0,0
41,0045249,65536,0,0,65536,0,0,0,0,0,0,0,0
42,0081033,65536,0,65536,0,0,0,0,0,0,0,0,0
43,0090385,65536,0,0,0,65536,0,0,0,0,0,0,0
44,0041545,65536,65536,0,0,0,0,0,0,0,0,0,0
45,0000004,65536,0,0,0,0,0,0,0,65536,0,0,0
46,0045251,65536,0,0,65536,0,0,0,0,0,0,0,0
47,0053982,65536,20,0,0,0,65475,41,0,0,0,0,0
48,0041603,65536,65536,0,0,0,0,0,0,0,0,0,0
49,0106131,65536,0,0,0,65536,0,0,0,0,0,0,0
50,0045267,65536,0,0,65536,0,0,0,0,0,0,0,0
