rank,sample_id,total_pixels,class_0,class_1,class_2,class_3,class_4,class_5,class_7,class_8
1,0000000,65536,0,0,0,0,0,0,65536,0
2,0000001,65536,0,0,0,0,0,0,65536,0
3,0000002,65536,0,0,0,0,0,0,65536,0
4,0000003,65536,0,0,0,0,0,0,65536,0
5,0000004,65536,0,0,0,0,0,0,65536,0
6,0000005,65536,0,0,0,0,0,0,65536,0
7,0000006,65536,0,0,0,0,0,0,65536,0
8,0000007,65536,0,0,38135,14,8,5244,21594,541
9,0000008,65536,8862,0,54452,0,158,0,1178,886
10,0000009,65536,21429,32,40222,0,6,8,1042,2797
11,0000010,65536,52225,0,12541,0,0,0,0,770
12,0000011,65536,51057,0,13037,46,0,0,805,591
13,0000012,65536,32616,0,26931,4202,593,0,1160,34
14,0000013,65536,5562,0,18869,7141,36,0,23091,10837
15,0000014,65536,0,0,0,0,0,0,65536,0
16,0000015,65536,0,0,0,0,0,0,65536,0
17,0000016,65536,0,0,0,0,0,0,65536,0
18,0000017,65536,0,0,0,0,0,0,65536,0
19,0000018,65536,0,0,0,0,0,0,65536,0
20,0000019,65536,0,0,0,0,0,0,65536,0
21,0000020,65536,0,0,5736,86,0,4075,55639,0
22,0000021,65536,105,0,58145,4,68,1673,572,4969
23,0000022,65536,4,0,53260,0,0,0,44,12228
24,0000023,65536,21501,0,41136,0,0,0,138,2761
25,0000024,65536,57355,0,7916,0,16,0,243,6
26,0000025,65536,57423,0,7450,404,259,0,0,0
27,0000026,65536,22564,0,23201,19553,218,0,0,0
28,0000027,65536,2396,0,17879,35415,776,0,6521,2549
29,0000028,65536,0,0,0,0,0,0,65536,0
30,0000029,65536,0,0,0,0,0,0,65536,0
31,0000030,65536,0,0,0,0,0,0,65536,0
32,0000031,65536,0,0,0,0,0,0,65536,0
33,0000032,65536,0,0,0,0,0,0,65536,0
34,0000033,65536,0,0,0,0,0,0,65536,0
35,0000034,65536,12,0,29370,399,14,4690,29017,2034
36,0000035,65536,10318,0,40705,0,0,0,143,14370
37,0000036,65536,6951,8,46311,0,0,0,289,11977
38,0000037,65536,11664,0,50084,0,6,0,130,3652
39,0000038,65536,42804,0,19891,1077,10,0,1545,209
40,0000039,65536,19435,0,17036,27131,1731,4,0,199
41,0000040,65536,4966,0,30058,28440,172,0,24,1876
42,0000042,65536,0,0,0,0,0,0,65536,0
43,0000043,65536,0,0,0,0,0,0,65536,0
44,0000044,65536,0,0,0,0,0,0,65536,0
45,0000045,65536,0,0,0,0,0,0,65536,0
46,0000046,65536,0,0,0,0,0,0,65536,0
47,0000047,65536,0,0,34,4,0,516,64982,0
48,0000048,65536,20,0,53561,4,16,2987,6033,2915
49,0000049,65536,7514,0,46799,0,0,0,152,11071
